Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: gluc
Parent(s): gluc_026.dat gluc_024.dat gluc_022.dat gluc_020.dat
  6.366680e-01   3.299190e+01   1.483350e-01
  6.394020e-01   3.242100e+01   1.458930e-01
  6.421360e-01   3.188760e+01   1.437540e-01
  6.448700e-01   3.173740e+01   1.430280e-01
  6.476040e-01   3.119830e+01   1.418870e-01
  6.503380e-01   3.055690e+01   1.391050e-01
  6.530720e-01   2.995630e+01   1.363850e-01
  6.558060e-01   2.979870e+01   1.368840e-01
  6.585400e-01   2.906600e+01   1.331920e-01
  6.612740e-01   2.877370e+01   1.332400e-01
  6.640080e-01   2.822680e+01   1.298020e-01
  6.667420e-01   2.785080e+01   1.289060e-01
  6.694760e-01   2.723560e+01   1.266880e-01
  6.722110e-01   2.688060e+01   1.253410e-01
  6.749450e-01   2.642730e+01   1.242870e-01
  6.776790e-01   2.595770e+01   1.214090e-01
  6.804130e-01   2.569630e+01   1.213350e-01
  6.831470e-01   2.514860e+01   1.194980e-01
  6.858810e-01   2.469340e+01   1.174620e-01
  6.886150e-01   2.439520e+01   1.167760e-01
  6.913490e-01   2.380490e+01   1.139420e-01
  6.940830e-01   2.356800e+01   1.134950e-01
  6.968170e-01   2.307790e+01   1.115200e-01
  6.995510e-01   2.267830e+01   1.095660e-01
  7.022850e-01   2.221950e+01   1.084200e-01
  7.050190e-01   2.181360e+01   1.070850e-01
  7.077530e-01   2.151300e+01   1.060520e-01
  7.104870e-01   2.097970e+01   1.032220e-01
  7.132210e-01   2.060820e+01   1.023230e-01
  7.159550e-01   2.022360e+01   1.012940e-01
  7.186890e-01   1.995190e+01   1.003060e-01
  7.214230e-01   1.964130e+01   9.907430e-02
  7.241570e-01   1.913900e+01   9.716180e-02
  7.268910e-01   1.885880e+01   9.565080e-02
  7.296250e-01   1.855410e+01   9.480830e-02
  7.323590e-01   1.815410e+01   9.336050e-02
  7.350940e-01   1.762830e+01   9.157600e-02
  7.378280e-01   1.728130e+01   8.944670e-02
  7.405620e-01   1.718010e+01   8.969790e-02
  7.432960e-01   1.677300e+01   8.830900e-02
  7.460300e-01   1.640270e+01   8.652930e-02
  7.487640e-01   1.605100e+01   8.508390e-02
  7.514980e-01   1.578500e+01   8.451780e-02
  7.542320e-01   1.549130e+01   8.350030e-02
  7.569660e-01   1.513290e+01   8.195970e-02
  7.597000e-01   1.479930e+01   8.086730e-02
  7.624340e-01   1.464350e+01   8.040130e-02
  7.651680e-01   1.436430e+01   7.920380e-02
  7.679020e-01   1.403110e+01   7.809230e-02
  7.706360e-01   1.377810e+01   7.685720e-02
  7.733700e-01   1.335530e+01   7.581300e-02
  7.761040e-01   1.316980e+01   7.488170e-02
  7.788380e-01   1.278020e+01   7.354280e-02
  7.815720e-01   1.250300e+01   7.212750e-02
  7.843060e-01   1.238940e+01   7.195470e-02
  7.870400e-01   1.212490e+01   7.132280e-02
  7.897740e-01   1.177430e+01   6.940810e-02
  7.925080e-01   1.159590e+01   6.901360e-02
  7.952420e-01   1.134180e+01   6.821720e-02
  7.979770e-01   1.113120e+01   6.770210e-02
  8.007110e-01   1.078820e+01   6.736860e-02
  8.034450e-01   1.052760e+01   6.536680e-02
  8.061790e-01   1.031370e+01   6.544580e-02
  8.089130e-01   1.012700e+01   6.468320e-02
  8.116470e-01   9.868300e+00   6.404500e-02
  8.143810e-01   9.576000e+00   6.267440e-02
  8.171150e-01   9.356760e+00   6.212420e-02
  8.198490e-01   9.164500e+00   6.193940e-02
  8.225830e-01   9.026830e+00   6.116820e-02
  8.253170e-01   8.759310e+00   6.023990e-02
  8.280510e-01   8.582420e+00   5.944830e-02
  8.307850e-01   8.336510e+00   5.831830e-02
  8.335190e-01   8.202700e+00   5.870080e-02
  8.362530e-01   7.951440e+00   5.736270e-02
  8.389870e-01   7.748530e+00   5.673070e-02
  8.417210e-01   7.549060e+00   5.678650e-02
  8.444550e-01   7.383590e+00   5.544910e-02
  8.471890e-01   7.177080e+00   5.538340e-02
  8.499230e-01   7.024000e+00   5.378600e-02
  8.526570e-01   6.828360e+00   5.388520e-02
  8.553910e-01   6.757320e+00   5.345210e-02
  8.581250e-01   6.585730e+00   5.319650e-02
  8.608600e-01   6.370070e+00   5.225400e-02
  8.635940e-01   6.174960e+00   5.112230e-02
  8.663280e-01   5.977940e+00   5.097050e-02
  8.690620e-01   5.811300e+00   5.032370e-02
  8.717960e-01   5.713230e+00   4.982760e-02
  8.745300e-01   5.567990e+00   4.932810e-02
  8.772640e-01   5.382980e+00   4.879000e-02
  8.799980e-01   5.246140e+00   4.871280e-02
  8.827320e-01   5.201140e+00   4.842520e-02
  8.854660e-01   5.004810e+00   4.732290e-02
  8.882000e-01   4.814650e+00   4.685770e-02
  8.909340e-01   4.784810e+00   4.655430e-02
  8.936680e-01   4.648870e+00   4.662660e-02
  8.964020e-01   4.552620e+00   4.603660e-02
  8.991360e-01   4.385430e+00   4.516230e-02
  9.018700e-01   4.226790e+00   4.483400e-02
  9.046040e-01   4.142300e+00   4.462960e-02
  9.073380e-01   4.028090e+00   4.408800e-02
  9.100720e-01   3.879290e+00   4.401610e-02
  9.128060e-01   3.867540e+00   4.379630e-02
  9.155400e-01   3.708570e+00   4.275850e-02
  9.182740e-01   3.627360e+00   4.306350e-02
  9.210090e-01   3.573510e+00   4.260930e-02
  9.237430e-01   3.383350e+00   4.222160e-02
  9.264770e-01   3.251490e+00   4.198630e-02
