1.005, 1.200 59.91954
1.005, 1.300 65.15337
1.005, 1.400 73.21122
1.005, 1.500 83.86685
1.005, 1.600 96.91113
1.005, 1.700 112.15205
1.005, 1.800 129.41066
1.005, 1.900 148.52103
1.005, 2.000 169.33182
1.010, 0.000 316.22900
1.010, 0.100 261.42761
1.010, 0.200 214.58212
1.010, 0.300 175.03923
1.010, 0.400 142.19460
1.010, 0.500 115.49918
1.010, 0.600 94.45116
1.010, 0.700 78.58935
1.010, 0.800 67.49110
1.010, 0.900 60.76237
1.010, 1.000 58.05025
1.010, 1.100 59.02505
1.010, 1.200 63.38406
1.010, 1.300 70.84898
1.010, 1.400 81.16385
1.010, 1.500 94.09171
1.010, 1.600 109.41534
1.010, 1.700 126.93518
1.010, 1.800 146.46381
1.010, 1.900 167.83174
1.010, 2.000 190.88141
1.015, 0.000 309.57095
1.015, 0.100 254.70857
1.015, 0.200 208.21419
1.015, 0.300 169.38280
1.015, 0.400 137.55942
1.015, 0.500 112.15213
1.015, 0.600 92.61649
1.015, 0.700 78.45576
1.015, 0.800 69.21413
1.015, 0.900 64.48059
1.015, 1.000 63.87014
1.015, 1.100 67.03278
1.015, 1.200 73.64933
1.015, 1.300 83.42426
1.015, 1.400 96.08810
1.015, 1.500 111.39122
1.015, 1.600 129.10487
1.015, 1.700 149.02094
1.015, 1.800 170.94345
1.015, 1.900 194.69562
1.015, 2.000 220.11101
1.020, 0.000 316.48950
1.020, 0.100 260.79678
1.020, 0.200 214.02068
1.020, 0.300 175.36919
1.020, 0.400 144.13205
1.020, 0.500 119.65621
1.020, 0.600 101.34857
1.020, 0.700 88.66862
1.020, 0.800 81.12215
1.020, 0.900 78.25983
1.020, 1.000 79.66924
1.020, 1.100 84.97337
1.020, 1.200 93.82998
1.020, 1.300 105.92253
1.020, 1.400 120.96267
1.020, 1.500 138.68701
1.020, 1.600 158.85217
1.020, 1.700 181.23624
1.020, 1.800 205.63611
1.020, 1.900 231.86334
1.020, 2.000 259.74478
1.025, 0.000 345.49332
1.025, 0.100 287.64441
1.025, 0.200 239.44418
1.025, 0.300 200.00629
1.025, 0.400 168.52744
1.025, 0.500 144.28560
1.025, 0.600 126.61968
1.025, 0.700 114.92619
1.025, 0.800 108.66368
1.025, 0.900 107.33604
1.025, 1.000 110.49088
1.025, 1.100 117.71721
1.025, 1.200 128.64011
1.025, 1.300 142.91844
1.025, 1.400 160.23930
1.025, 1.500 180.31741
1.025, 1.600 202.89337
1.025, 1.700 227.72803
1.025, 1.800 254.60323
1.025, 1.900 283.31711
1.025, 2.000 313.69458
1.030, 0.000 410.69424
1.030, 0.100 348.37741
1.030, 0.200 296.74350
1.030, 0.300 254.77060
1.030, 0.400 221.53769
1.030, 0.500 196.21054
1.030, 0.600 178.04353
1.030, 0.700 166.35347
1.030, 0.800 160.52405
1.030, 0.900 159.99693
1.030, 1.000 164.26659
1.030, 1.100 172.87415
1.030, 1.200 185.40363
1.030, 1.300 201.47314
1.030, 1.400 220.74088
1.030, 1.500 242.89226
1.030, 1.600 267.64127
1.030, 1.700 294.72943
1.030, 1.800 323.91943
1.030, 1.900 354.99323
1.030, 2.000 387.75632
1.035, 0.000 536.22937
1.035, 0.100 465.34399
1.035, 0.200 406.67462
1.035, 0.300 359.00269
1.035, 0.400 321.23276
1.035, 0.500 292.38141
1.035, 0.600 271.56430
1.035, 0.700 257.98410
1.035, 0.800 250.92159
1.035, 0.900 249.73062
1.035, 1.000 253.82614
1.035, 1.100 262.67819
1.035, 1.200 275.81097
1.035, 1.300 292.79218
1.035, 1.400 313.22940
1.035, 1.500 336.76852
1.035, 1.600 363.08765
1.035, 1.700 391.89746
1.035, 1.800 422.93173
1.035, 1.900 455.94589
1.035, 2.000 490.73026
1.040, 0.000 765.03937
1.040, 0.100 678.10052
1.040, 0.200 605.79016
1.040, 0.300 546.57800
1.040, 0.400 499.10257
1.040, 0.500 462.14447
1.040, 0.600 434.61511
1.040, 0.700 415.53696
1.040, 0.800 404.03644
1.040, 0.900 399.32559
1.040, 1.000 400.70309
1.040, 1.100 407.53217
1.040, 1.200 419.24326
1.040, 1.300 435.32245
1.040, 1.400 455.30478
1.040, 1.500 478.77670
1.040, 1.600 505.36038
1.040, 1.700 534.71149
1.040, 1.800 566.53094
1.040, 1.900 600.53680
1.040, 2.000 636.47369
1.045, 0.000 1177.02539
1.045, 0.100 1059.84229
1.045, 0.200 961.32867
1.045, 0.300 879.44031
1.045, 0.400 812.37292
1.045, 0.500 758.51660
1.045, 0.600 716.44635
1.045, 0.700 684.88867
1.045, 0.800 662.71112
1.045, 0.900 648.90192
1.045, 1.000 642.55908
1.045, 1.100 642.87488
1.045, 1.200 649.12830
1.045, 1.300 660.67096
1.045, 1.400 676.92407
1.045, 1.500 697.36859
1.045, 1.600 721.53149
1.045, 1.700 749.00146
1.045, 1.800 779.39703
1.045, 1.900 812.37946
1.045, 2.000 847.64679
1.005, 1.100, 
