 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.757256E+00  0.457575E+02  0.206564E+00
  0.759541E+00  0.451944E+02  0.208172E+00
  0.761825E+00  0.451959E+02  0.205416E+00
  0.764110E+00  0.450556E+02  0.206548E+00
  0.766395E+00  0.453708E+02  0.205292E+00
  0.768679E+00  0.450946E+02  0.204922E+00
  0.770964E+00  0.447094E+02  0.203938E+00
  0.773248E+00  0.449328E+02  0.202543E+00
  0.775533E+00  0.446433E+02  0.204512E+00
  0.777817E+00  0.447029E+02  0.201939E+00
  0.780102E+00  0.442918E+02  0.202220E+00
  0.782386E+00  0.443469E+02  0.201995E+00
  0.784671E+00  0.439301E+02  0.200232E+00
  0.786956E+00  0.433658E+02  0.201620E+00
  0.789240E+00  0.431547E+02  0.198093E+00
  0.791525E+00  0.431159E+02  0.199478E+00
  0.793809E+00  0.433967E+02  0.199345E+00
  0.796094E+00  0.431411E+02  0.198474E+00
  0.798378E+00  0.426241E+02  0.198101E+00
  0.800663E+00  0.423235E+02  0.195586E+00
  0.802948E+00  0.419575E+02  0.196847E+00
  0.805232E+00  0.417673E+02  0.195445E+00
  0.807517E+00  0.419723E+02  0.196072E+00
  0.809801E+00  0.420551E+02  0.195643E+00
  0.812086E+00  0.416420E+02  0.193596E+00
  0.814370E+00  0.417036E+02  0.194662E+00
  0.816655E+00  0.420680E+02  0.193952E+00
  0.818939E+00  0.417900E+02  0.193222E+00
  0.821224E+00  0.415862E+02  0.192575E+00
  0.823509E+00  0.415545E+02  0.191850E+00
  0.825793E+00  0.412704E+02  0.192986E+00
  0.828078E+00  0.410870E+02  0.190100E+00
  0.830362E+00  0.406194E+02  0.191008E+00
  0.832647E+00  0.403243E+02  0.190205E+00
  0.834931E+00  0.400792E+02  0.189289E+00
  0.837216E+00  0.402744E+02  0.190072E+00
  0.839500E+00  0.402219E+02  0.188167E+00
  0.841785E+00  0.399172E+02  0.188448E+00
  0.844070E+00  0.395784E+02  0.186694E+00
  0.846354E+00  0.391129E+02  0.187828E+00
  0.848639E+00  0.391212E+02  0.186841E+00
  0.850923E+00  0.390370E+02  0.185929E+00
  0.853208E+00  0.389550E+02  0.186434E+00
  0.855492E+00  0.386785E+02  0.184809E+00
  0.857777E+00  0.383597E+02  0.184879E+00
  0.860061E+00  0.380830E+02  0.183263E+00
  0.862346E+00  0.378051E+02  0.183348E+00
  0.864631E+00  0.375879E+02  0.183837E+00
  0.866915E+00  0.381381E+02  0.181665E+00
  0.869200E+00  0.379852E+02  0.183184E+00
  0.871484E+00  0.374143E+02  0.181168E+00
  0.873769E+00  0.379412E+02  0.182253E+00
  0.876053E+00  0.374037E+02  0.181962E+00
  0.878338E+00  0.368755E+02  0.179295E+00
  0.880623E+00  0.368637E+02  0.181266E+00
  0.882907E+00  0.364843E+02  0.178434E+00
  0.885192E+00  0.367998E+02  0.179762E+00
  0.887476E+00  0.368672E+02  0.178737E+00
  0.889761E+00  0.365381E+02  0.178073E+00
  0.892045E+00  0.361949E+02  0.178753E+00
  0.894330E+00  0.360705E+02  0.176977E+00
  0.896614E+00  0.363537E+02  0.177198E+00
  0.898899E+00  0.359197E+02  0.176138E+00
  0.901184E+00  0.354579E+02  0.175936E+00
  0.903468E+00  0.354154E+02  0.176855E+00
  0.905753E+00  0.357037E+02  0.174608E+00
  0.908037E+00  0.356090E+02  0.175538E+00
  0.910322E+00  0.347032E+02  0.174285E+00
  0.912606E+00  0.347471E+02  0.174383E+00
  0.914891E+00  0.344602E+02  0.174183E+00
  0.917175E+00  0.344075E+02  0.173170E+00
  0.919460E+00  0.344382E+02  0.174075E+00
  0.921745E+00  0.338739E+02  0.172130E+00
  0.924029E+00  0.342800E+02  0.173800E+00
  0.926314E+00  0.335957E+02  0.172237E+00
  0.928598E+00  0.336232E+02  0.171349E+00
  0.930883E+00  0.337275E+02  0.172239E+00
