Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: myo
Parent(s): myo_112.dat myo_110.dat myo_108.dat myo_106.dat
  8.089130e-01   5.864000e+00   3.852040e-02
  8.116470e-01   5.853910e+00   3.873170e-02
  8.143810e-01   5.751500e+00   3.805790e-02
  8.171150e-01   5.764820e+00   3.813790e-02
  8.198490e-01   5.746660e+00   3.852640e-02
  8.225830e-01   5.727430e+00   3.829750e-02
  8.253170e-01   5.671640e+00   3.809600e-02
  8.280510e-01   5.703350e+00   3.814130e-02
  8.307850e-01   5.576120e+00   3.749200e-02
  8.335190e-01   5.624350e+00   3.822870e-02
  8.362530e-01   5.618300e+00   3.783580e-02
  8.389870e-01   5.606080e+00   3.774520e-02
  8.417210e-01   5.595620e+00   3.802480e-02
  8.444550e-01   5.508390e+00   3.748230e-02
  8.471890e-01   5.473940e+00   3.758470e-02
  8.499230e-01   5.495220e+00   3.708010e-02
  8.526570e-01   5.364850e+00   3.732550e-02
  8.553910e-01   5.445270e+00   3.737710e-02
  8.581250e-01   5.397890e+00   3.756170e-02
  8.608600e-01   5.376060e+00   3.718400e-02
  8.635940e-01   5.360170e+00   3.690620e-02
  8.663280e-01   5.334680e+00   3.718720e-02
  8.690620e-01   5.276860e+00   3.687090e-02
  8.717960e-01   5.284330e+00   3.688340e-02
  8.745300e-01   5.277410e+00   3.690740e-02
  8.772640e-01   5.276810e+00   3.682470e-02
  8.799980e-01   5.214280e+00   3.674870e-02
  8.827320e-01   5.249590e+00   3.695210e-02
  8.854660e-01   5.182240e+00   3.636620e-02
  8.882000e-01   5.097220e+00   3.633190e-02
  8.909340e-01   5.080690e+00   3.606270e-02
  8.936680e-01   5.055400e+00   3.630050e-02
  8.964020e-01   5.089660e+00   3.629230e-02
  8.991360e-01   5.016610e+00   3.589460e-02
  9.018700e-01   5.005820e+00   3.592990e-02
  9.046040e-01   5.001390e+00   3.614080e-02
  9.073380e-01   4.955310e+00   3.568010e-02
  9.100720e-01   4.926480e+00   3.588310e-02
  9.128060e-01   4.872970e+00   3.558700e-02
  9.155400e-01   4.897050e+00   3.534110e-02
  9.182740e-01   4.834880e+00   3.562140e-02
  9.210090e-01   4.876570e+00   3.554460e-02
  9.237430e-01   4.819100e+00   3.547910e-02
  9.264770e-01   4.798910e+00   3.551530e-02
  9.292110e-01   4.703610e+00   3.463140e-02
  9.319450e-01   4.733900e+00   3.511330e-02
  9.346790e-01   4.697630e+00   3.495780e-02
  9.374130e-01   4.676330e+00   3.515550e-02
  9.401470e-01   4.715810e+00   3.519560e-02
  9.428810e-01   4.705880e+00   3.474160e-02
  9.456150e-01   4.630950e+00   3.495410e-02
  9.483490e-01   4.589340e+00   3.436180e-02
  9.510830e-01   4.569700e+00   3.469500e-02
  9.538170e-01   4.606190e+00   3.468380e-02
  9.565510e-01   4.527350e+00   3.441450e-02
  9.592850e-01   4.513490e+00   3.469570e-02
  9.620190e-01   4.482410e+00   3.403860e-02
  9.647530e-01   4.473700e+00   3.431920e-02
  9.674870e-01   4.452140e+00   3.407840e-02
  9.702210e-01   4.400470e+00   3.407120e-02
  9.729550e-01   4.386440e+00   3.411190e-02
  9.756890e-01   4.383210e+00   3.372030e-02
  9.784230e-01   4.415150e+00   3.443310e-02
  9.811570e-01   4.349010e+00   3.356390e-02
  9.838920e-01   4.359870e+00   3.405340e-02
  9.866260e-01   4.283420e+00   3.361780e-02
  9.893600e-01   4.289910e+00   3.360870e-02
  9.920940e-01   4.285790e+00   3.390200e-02
  9.948280e-01   4.161920e+00   3.310240e-02
  9.975620e-01   4.175360e+00   3.330150e-02
  1.000300e+00   4.135610e+00   3.270210e-02
  1.003030e+00   4.133660e+00   3.314210e-02
  1.005760e+00   4.129000e+00   3.296600e-02
  1.008500e+00   4.126490e+00   3.311860e-02
  1.011230e+00   4.151050e+00   3.318760e-02
  1.013970e+00   4.094630e+00   3.262610e-02
  1.016700e+00   4.096470e+00   3.305950e-02
  1.019430e+00   4.053120e+00   3.288870e-02
  1.022170e+00   3.991010e+00   3.259480e-02
  1.024900e+00   3.996530e+00   3.279610e-02
  1.027640e+00   3.944120e+00   3.200490e-02
  1.030370e+00   3.962250e+00   3.270140e-02
  1.033100e+00   3.869860e+00   3.207840e-02
  1.035840e+00   3.946010e+00   3.245810e-02
  1.038570e+00   3.927800e+00   3.255500e-02
  1.041310e+00   3.860180e+00   3.204770e-02
  1.044040e+00   3.840820e+00   3.236880e-02
  1.046770e+00   3.817660e+00   3.176860e-02
  1.049510e+00   3.818710e+00   3.191800e-02
  1.052240e+00   3.826660e+00   3.207920e-02
  1.054980e+00   3.758120e+00   3.170290e-02
