 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.441987E+00  0.901288E+02  0.366369E+00
  0.444272E+00  0.905502E+02  0.369862E+00
  0.446556E+00  0.900683E+02  0.365600E+00
  0.448841E+00  0.896697E+02  0.364955E+00
  0.451125E+00  0.884955E+02  0.361286E+00
  0.453410E+00  0.882460E+02  0.358445E+00
  0.455694E+00  0.879523E+02  0.360917E+00
  0.457979E+00  0.882066E+02  0.356845E+00
  0.460264E+00  0.883928E+02  0.357566E+00
  0.462548E+00  0.878500E+02  0.353599E+00
  0.464833E+00  0.871288E+02  0.350457E+00
  0.467117E+00  0.869895E+02  0.353023E+00
  0.469402E+00  0.864502E+02  0.346639E+00
  0.471686E+00  0.863816E+02  0.349234E+00
  0.473971E+00  0.869359E+02  0.344508E+00
  0.476256E+00  0.862244E+02  0.341243E+00
  0.478540E+00  0.860519E+02  0.346609E+00
  0.480825E+00  0.859937E+02  0.339893E+00
  0.483109E+00  0.855235E+02  0.341534E+00
  0.485394E+00  0.853626E+02  0.337012E+00
  0.487678E+00  0.853166E+02  0.337978E+00
  0.489963E+00  0.848338E+02  0.335663E+00
  0.492247E+00  0.841443E+02  0.330420E+00
  0.494532E+00  0.838037E+02  0.335508E+00
  0.496817E+00  0.837285E+02  0.328406E+00
  0.499101E+00  0.841581E+02  0.331113E+00
  0.501386E+00  0.831587E+02  0.329518E+00
  0.503670E+00  0.831389E+02  0.323905E+00
  0.505955E+00  0.828787E+02  0.328556E+00
  0.508239E+00  0.827245E+02  0.321138E+00
  0.510524E+00  0.826179E+02  0.323664E+00
  0.512808E+00  0.817530E+02  0.322104E+00
  0.515093E+00  0.810384E+02  0.319233E+00
  0.517378E+00  0.817449E+02  0.320870E+00
  0.519662E+00  0.816606E+02  0.315105E+00
  0.521947E+00  0.813703E+02  0.318024E+00
  0.524231E+00  0.807977E+02  0.313956E+00
  0.526516E+00  0.810067E+02  0.315594E+00
  0.528800E+00  0.806612E+02  0.313890E+00
  0.531085E+00  0.803170E+02  0.308764E+00
  0.533369E+00  0.798106E+02  0.311326E+00
  0.535654E+00  0.798209E+02  0.308337E+00
  0.537939E+00  0.796917E+02  0.308791E+00
  0.540223E+00  0.792331E+02  0.306258E+00
  0.542508E+00  0.794886E+02  0.305046E+00
  0.544792E+00  0.782622E+02  0.305028E+00
  0.547077E+00  0.779578E+02  0.301399E+00
  0.549361E+00  0.780556E+02  0.302699E+00
  0.551646E+00  0.785084E+02  0.300420E+00
  0.553931E+00  0.772986E+02  0.300284E+00
  0.556215E+00  0.765668E+02  0.299073E+00
  0.558500E+00  0.765282E+02  0.297700E+00
  0.560784E+00  0.768484E+02  0.296388E+00
  0.563069E+00  0.762412E+02  0.292816E+00
  0.565353E+00  0.760380E+02  0.295440E+00
  0.567638E+00  0.761411E+02  0.292931E+00
  0.569922E+00  0.751900E+02  0.291184E+00
  0.572207E+00  0.751637E+02  0.292277E+00
  0.574492E+00  0.747221E+02  0.288648E+00
  0.576776E+00  0.748609E+02  0.289662E+00
  0.579061E+00  0.741662E+02  0.287678E+00
  0.581345E+00  0.739584E+02  0.286374E+00
  0.583630E+00  0.736216E+02  0.286081E+00
  0.585914E+00  0.736384E+02  0.283400E+00
  0.588199E+00  0.729763E+02  0.284406E+00
  0.590483E+00  0.731383E+02  0.281880E+00
  0.592768E+00  0.729050E+02  0.281963E+00
  0.595053E+00  0.728599E+02  0.282097E+00
  0.597337E+00  0.723928E+02  0.278864E+00
  0.599622E+00  0.714360E+02  0.281241E+00
  0.601906E+00  0.715826E+02  0.275640E+00
  0.604191E+00  0.712674E+02  0.278254E+00
  0.606475E+00  0.705832E+02  0.274585E+00
  0.608760E+00  0.708943E+02  0.274897E+00
  0.611045E+00  0.708686E+02  0.274787E+00
  0.613329E+00  0.709569E+02  0.272487E+00
  0.615614E+00  0.701178E+02  0.273301E+00
  0.617898E+00  0.703028E+02  0.268885E+00
  0.620183E+00  0.697303E+02  0.271800E+00
  0.622467E+00  0.694589E+02  0.270852E+00
  0.624752E+00  0.691914E+02  0.267357E+00
  0.627036E+00  0.696232E+02  0.270570E+00
